Hour,Region,GPU_Use,Available_GPU,GPU_Utilization,AI_IT_Load_MW
2376,RegionA,122.26666666666667,630.0,0.19407407407407407,14.035333333333334
2377,RegionA,141.3,630.0,0.2242857142857143,15.603333333333335
2378,RegionA,129.91666666666669,630.0,0.20621693121693124,14.20666666666667
2379,RegionA,107.08333333333333,630.0,0.16997354497354497,10.022666666666668
2380,RegionA,197.1,630.0,0.31285714285714283,26.47266666666667
2381,RegionA,201.01666666666665,630.0,0.31907407407407407,26.951333333333334
2382,RegionA,207.61666666666667,630.0,0.32955026455026454,26.708
2383,RegionA,227.05,630.0,0.36039682539682544,27.581333333333333
2384,RegionA,186.36666666666665,630.0,0.29582010582010576,23.364666666666665
2385,RegionA,156.68333333333334,630.0,0.2487037037037037,20.446666666666665
2386,RegionA,163.2,630.0,0.259047619047619,21.096
2387,RegionA,225.56666666666666,630.0,0.35804232804232805,31.679000000000002
2388,RegionA,286.6,630.0,0.45492063492063495,38.69066666666666
2389,RegionA,219.25,630.0,0.348015873015873,25.906666666666666
2390,RegionA,212.06666666666666,630.0,0.3366137566137566,25.409999999999997
2391,RegionA,279.2833333333333,630.0,0.44330687830687826,35.74533333333333
2392,RegionA,205.76666666666668,630.0,0.32661375661375663,23.013999999999996
2393,RegionA,161.78333333333336,630.0,0.25679894179894186,15.401666666666667
2394,RegionA,162.98333333333332,630.0,0.25870370370370366,15.551333333333336
2395,RegionA,102.83333333333333,630.0,0.16322751322751322,9.629000000000001
2396,RegionA,214.95000000000002,630.0,0.3411904761904762,28.233999999999998
2397,RegionA,244.26666666666665,630.0,0.3877248677248677,33.66133333333333
2398,RegionA,299.51666666666665,630.0,0.4754232804232804,42.75933333333333
2399,RegionA,294.5,630.0,0.46746031746031746,42.13999999999999
2400,RegionA,282.23333333333335,630.0,0.447989417989418,41.15866666666666
2401,RegionA,143.45,630.0,0.22769841269841268,20.899000000000004
2402,RegionA,118.86666666666666,630.0,0.18867724867724867,17.489333333333335
2403,RegionA,106.65,630.0,0.1692857142857143,16.285
2404,RegionA,184.16666666666666,630.0,0.2923280423280423,29.14666666666667
2405,RegionA,122.4,630.0,0.19428571428571428,19.392
2376,RegionB,207.73333333333335,585.0,0.3550997150997151,27.08533333333333
2377,RegionB,194.98333333333335,585.0,0.33330484330484333,25.95866666666666
2378,RegionB,195.46666666666667,585.0,0.33413105413105415,26.42933333333333
2379,RegionB,192.6,585.0,0.3292307692307692,25.947999999999997
2380,RegionB,227.66666666666666,585.0,0.38917378917378914,30.093333333333327
2381,RegionB,264.54999999999995,585.0,0.45222222222222214,35.99199999999999
2382,RegionB,259.40000000000003,585.0,0.44341880341880346,36.51599999999999
2383,RegionB,246.11666666666667,585.0,0.4207122507122507,35.22933333333332
2384,RegionB,251.0,585.0,0.42905982905982903,35.61999999999999
2385,RegionB,226.4333333333333,585.0,0.38706552706552705,29.772
2386,RegionB,234.13333333333333,585.0,0.4002279202279202,26.910666666666668
2387,RegionB,264.1333333333333,585.0,0.4515099715099715,30.68733333333333
2388,RegionB,234.76666666666668,585.0,0.40131054131054134,27.305333333333333
2389,RegionB,191.88333333333333,585.0,0.328005698005698,22.45433333333333
2390,RegionB,185.54999999999998,585.0,0.31717948717948713,21.788666666666664
2391,RegionB,280.1,585.0,0.47880341880341887,36.82333333333334
2392,RegionB,235.35,585.0,0.4023076923076923,33.24
2393,RegionB,223.13333333333333,585.0,0.3814245014245014,31.79866666666667
2394,RegionB,215.48333333333332,585.0,0.3683475783475783,26.070666666666668
2395,RegionB,267.55,585.0,0.45735042735042736,35.99999999999999
2396,RegionB,271.26666666666665,585.0,0.4637037037037037,36.35466666666666
2397,RegionB,178.33333333333331,585.0,0.3048433048433048,21.727999999999998
2398,RegionB,269.85,585.0,0.4612820512820513,37.499
2399,RegionB,274.3666666666667,585.0,0.469002849002849,37.336666666666666
2400,RegionB,240.43333333333334,585.0,0.410997150997151,31.446666666666665
2401,RegionB,198.73333333333332,585.0,0.33971509971509967,27.064666666666668
2402,RegionB,154.96666666666667,585.0,0.2649002849002849,22.756666666666668
2403,RegionB,151.0,585.0,0.25811965811965815,22.36
2404,RegionB,11.183333333333332,585.0,0.019116809116809113,1.2393333333333334
2405,RegionB,0.0,585.0,0.0,0.0
2376,RegionC,121.18333333333335,540.0,0.2244135802469136,17.40966666666667
