Region,TaskType,count_mean,count_variance,count_dispersion,gpu_mean,gpu_std,gpu_zero_rate,poisson_zero_probability,gpu_p95,gpu_max,acf_1,acf_24,acf_168,gpuh_mean
RegionA,AITraining,0.36625,0.3689313255523135,1.007321025398808,26.279166666666665,47.824724091239915,0.6954166666666667,0.69332944717961,122.0,312.0,-0.016478086351076445,-0.0027464927651319197,0.03396404453320632,89.29970138888889
RegionA,BatchInference,1.3879166666666667,1.4238639363623733,1.0259001642959158,18.7775,17.387441686079868,0.24833333333333332,0.2495947524198846,52.0,106.0,0.03315404664599931,-0.002078174305425716,0.007106839577312844,64.3089375
RegionA,RealTimeInference,2.4383333333333335,2.4363790468250657,0.9991985154443195,9.827083333333333,7.020343201546513,0.08208333333333333,0.08730624067177117,23.0,44.0,0.03476138286885771,-0.009153108449457693,-0.009667327365670834,33.246548611111116
RegionB,AITraining,0.36291666666666667,0.3530219188550785,0.9727354824939017,26.062916666666666,47.090236912742995,0.6925,0.6956444014505178,121.0,338.0,0.014605651831202097,-0.027802536914083145,0.002846288708767364,88.45609722222223
RegionB,BatchInference,1.38,1.3303209670696123,0.9640007007750815,18.4475,16.835736136406076,0.24583333333333332,0.2515785530597565,51.0,108.0,0.0003834707365496883,-0.01504580241507523,0.005185064091056247,63.025180555555565
RegionB,RealTimeInference,2.0904166666666666,2.0864441781297764,0.9980996666357312,8.32875,6.394610598474903,0.11166666666666666,0.1236356102461037,20.0,40.0,0.026783865455098043,-0.014456818394622912,0.011973926269745423,28.00128472222222
RegionC,AITraining,0.33958333333333335,0.33023742531610395,0.9724783076793245,24.54125,45.5164698455277,0.70875,0.712066955524628,120.0,285.0,-0.012107296995370616,-0.015648871951262633,-0.015832128182785458,82.63831944444445
RegionC,BatchInference,1.05125,1.0057091496456856,0.9566793337889994,14.4625,14.99262879882282,0.33875,0.3495006001997565,43.0,93.0,0.0010061594833905274,-0.003901865918559541,0.02286230721111092,49.12390277777778
RegionC,RealTimeInference,1.75875,1.7012572947061275,0.9673104731804563,7.089583333333334,5.86977405267737,0.16791666666666666,0.17226005436890088,18.0,39.0,0.032940735262659115,0.02691096097900357,0.019071572005998842,24.460395833333337
RegionD,AITraining,2.3858333333333333,2.5580318188133946,1.072175404322764,169.86791666666667,124.61360225287368,0.09916666666666667,0.09201227072942506,409.09999999999945,673.0,0.03363397605903048,0.00945505326124624,-0.00862335625341122,577.9677847222222
RegionD,BatchInference,1.3941666666666668,1.4002160622481588,1.0043390763286255,18.87125,17.420374633629148,0.2579166666666667,0.248039649974581,52.0,116.0,-0.0007353038063088726,0.00783901309689922,-0.00019989979139843836,64.65716666666667
RegionD,RealTimeInference,0.20333333333333334,0.19456995970543278,0.9569014411742596,0.8304166666666667,2.0426853390745032,0.8120833333333334,0.816006194022221,6.0,18.0,0.0173128872444715,0.020954145742844134,-0.006752243573336867,2.732729166666666
RegionE,AITraining,1.7045833333333333,1.6596705224399053,0.9736517364594898,121.66666666666667,101.2532459420996,0.17666666666666667,0.18184814045065195,317.0,517.0,0.04117334158853175,-0.020258183121194515,0.03556620258261559,407.7229652777778
RegionE,BatchInference,0.905,0.8638349312213423,0.9545137361561793,12.311666666666667,13.712173682541387,0.39416666666666667,0.4045418851030188,40.0,80.0,0.01342873359601413,0.0038867633486149465,0.012188654150197934,41.73263888888889
RegionE,RealTimeInference,0.2704166666666667,0.27657339863832153,1.0227675758581998,1.095,2.3325398122697196,0.7675,0.7630614858039246,7.0,16.0,-0.00011325517916562233,-0.009371027423581443,-0.028775793549381506,3.7728194444444445
RegionF,AITraining,1.7404166666666667,1.7562649367792134,1.009106020653606,123.39291666666666,103.92846820066087,0.17291666666666666,0.17544728235076976,328.0,723.0,-0.03865436888581411,-0.00010038474646346467,0.016427285644384414,430.38959722222216
RegionF,BatchInference,0.8470833333333333,0.8357147075170209,0.9865790939699215,11.322083333333333,13.330099417199373,0.42291666666666666,0.4286633785999047,37.0,85.0,-0.026350143483262988,-0.02621390567809769,-0.016091282536073434,37.60959027777778
RegionF,RealTimeInference,0.20708333333333334,0.2084533486174795,1.006615767971732,0.8316666666666667,2.04268674202011,0.8145833333333333,0.8129519011729786,6.0,16.0,-0.0016850378823163998,-0.027816843749508588,0.0049287467844939155,2.848777777777778
