Region,TaskType,MeanCount,VarianceCount,Dispersion,OverdispersionP,ObservedZeroRate,PoissonZeroRate,ZeroRateGap,PoissonAIC,NegativeBinomialAIC,NB_Size,NB_Prob,AICPreferred
RegionA,AITraining,0.36742424242424243,0.36978468899521527,1.0064243081931632,0.40882126009743036,0.6944444444444444,0.6925157881387299,0.0019286563057144823,3712.6863540993336,3714.6420664706875,57.192810708436824,0.9936167000927305,Poisson
RegionA,BatchInference,1.3855218855218856,1.4125734538366117,1.0195244612137877,0.2488404187046147,0.24831649831649832,0.2501931935085299,-0.0018766951920315966,7115.86011578199,7117.442092296254,70.96338640799273,0.9808494430917891,Poisson
RegionA,RealTimeInference,2.4414983164983166,2.441207690944533,0.9998809642620601,0.4977774402909798,0.08164983164983165,0.08703035470736194,-0.005380523057530284,8611.490896806305,,,,Poisson
RegionB,AITraining,0.36195286195286197,0.35230338472443734,0.9733405140758873,0.8205040081274733,0.6931818181818182,0.6963151900064279,-0.0031333718246097098,3661.846108970374,,,,Poisson
RegionB,BatchInference,1.378787878787879,1.3309856459330145,0.9653302486986698,0.8847584738834382,0.24705387205387205,0.25188368164949415,-0.004829809595622098,7041.316868765068,,,,Poisson
RegionB,RealTimeInference,2.090909090909091,2.0978373205741625,1.0033135011441647,0.45076519180844216,0.11237373737373738,0.12357474406161391,-0.011201006687876533,8199.125160915268,8201.11597309231,631.0271220492303,0.9966974418859249,Poisson
RegionC,AITraining,0.33964646464646464,0.3313285486443382,0.975510076306007,0.7998882118011278,0.7091750841750841,0.7120220032216522,-0.002846919046568086,3528.608297979402,,,,Poisson
RegionC,BatchInference,1.0526094276094276,1.009862661704767,0.9593897177970918,0.920602309701899,0.33880471380471383,0.34902580223418567,-0.010221088429471836,6289.278240348056,,,,Poisson
RegionC,RealTimeInference,1.7601010101010102,1.7024242424242424,0.9672309899569583,0.8712037997407351,0.1675084175084175,0.1720274864316383,-0.0045190689232207926,7703.2141497671255,,,,Poisson
RegionD,AITraining,2.3884680134680134,2.5686080099237993,1.0754207280315327,0.005448046180110847,0.09974747474747475,0.0917701669007092,0.00797730784676555,8713.5578172852,8709.206690450203,31.668588673254668,0.9298686308849711,NegativeBinomial
RegionD,BatchInference,1.3918350168350169,1.3979796207690944,1.0044147502108765,0.4358186236700984,0.25841750841750843,0.2486186663520834,0.009798842065425029,7137.633010210304,7139.6129289269675,315.26925654955943,0.995604654143172,Poisson
RegionD,RealTimeInference,0.20244107744107745,0.19352667021088074,0.9559654229127913,0.9370647678730095,0.8127104377104377,0.8167346052732446,-0.00402416756280688,2552.1372242152056,,,,Poisson
RegionE,AITraining,1.6982323232323233,1.6465821371610845,0.9695859127372334,0.8529553914684246,0.1771885521885522,0.18300673505616996,-0.0058181828676177605,7609.984213100448,,,,Poisson
RegionE,BatchInference,0.9010942760942761,0.8588451178451181,0.9531134983652502,0.9486569622376378,0.39604377104377103,0.40612500361394255,-0.010081232570171517,5867.202714009427,,,,Poisson
RegionE,RealTimeInference,0.2697811447811448,0.2762401205032784,1.0239415387141801,0.2037818209264556,0.7680976430976431,0.7635465822065151,0.004551060891128,3091.615107971967,3092.9092332909067,11.268329408642336,0.9766182562099738,Poisson
RegionF,AITraining,1.7319023569023568,1.7508302321460214,1.0109289505659653,0.3501505338675239,0.17466329966329966,0.17694747233831956,-0.002284172675019902,7721.568709078913,7723.43998861772,158.4692278045265,0.9891892001313775,Poisson
RegionF,BatchInference,0.8484848484848485,0.8376650717703349,0.9872481203007518,0.6669947060743354,0.4225589225589226,0.4280630211831759,-0.0055040986242533285,5740.810967442108,,,,Poisson
RegionF,RealTimeInference,0.20664983164983164,0.2086462874357611,1.0096610569192839,0.36635587751392307,0.8152356902356902,0.8133043935882505,0.0019312966474397397,2605.246657734081,2607.1357873482802,21.389981797679752,0.9904313860051589,Poisson
