sol_id,cost_yuan,carbon_tco2,avg_latency_ms,renew_utilization
0,369482654.4628896,322068.4779976445,56582.0845054945,0.08524338749703775
1,515030775.24564993,416721.13590230106,10948.917139705685,0.09275770994683841
2,369542741.5054248,321742.2572884274,63144.057543878924,0.08494632803804247
3,520968564.90167695,421909.2559992192,11575.007711115291,0.09301056780953387
4,525469951.62138724,425874.51017413934,11278.036506146991,0.09292394004860838
5,385557371.63662213,340738.5774644264,13574.942491076661,0.09165430464921887
6,482647153.3287683,393395.83188608126,17201.324028373387,0.09166257298228764
7,383732101.4146161,339090.23825870734,14710.931256168806,0.09142012971680802
8,381150721.1533794,336529.59081648436,22367.99959871589,0.09033868261210565
9,377719428.3037554,332688.4351914862,32453.95217543765,0.08901198718177683
10,383711423.31276125,338699.5672148237,18495.004995191794,0.09096554447742278
11,380150187.03783303,335291.05775574635,25531.96772894461,0.09008334344261726
12,371926294.984208,325573.98095498525,48606.034518401655,0.08648489004934024
13,382070075.65382904,337207.0016552437,20325.923506465748,0.09063842192745708
14,500874489.3812516,406553.279082524,15128.550583027423,0.09231324180065203
15,517225082.9863977,418887.4581118231,12116.995024072728,0.09284449229488279
16,382168204.101254,337136.0096565423,23509.01472832927,0.09040071609573797
17,503432284.6948784,407783.8590609786,14419.729449192526,0.09240811879635003
18,378806797.1499212,334384.46572240646,29707.93675038993,0.08964150635949508
19,378283425.4946757,333647.6984625256,30163.97161044263,0.08929645355644522
20,523506498.840839,424230.6862545413,11356.029486800762,0.09297932571474443
21,378969942.54850036,334029.535435684,26550.031781425463,0.0895100987896531
22,372309047.0690215,325801.716407225,47849.04235236515,0.0866471404678043
23,378279409.32218724,333262.25421786273,27784.023810164384,0.08917401531199842
24,381972021.3707625,337382.2956721842,19324.998744020737,0.0906662645773979
25,383226930.6255715,338038.1761076239,18633.987132598308,0.09086820158516296
26,485238622.53417236,394118.84488114144,17359.37660689208,0.09169331826164417
27,490423946.5390402,398647.046647259,16044.42554911737,0.09192491629188893
28,495082338.5474183,401229.3211292635,15333.691656982244,0.09205629077302357
29,371559649.4169191,323265.8461773475,57138.06152581838,0.08544067683130319
30,370834571.5015851,324859.0044696867,47053.01240276342,0.08641679719391493
